Designator,Mid X,Mid Y,Layer,Rotation
R163,166.76, 4.74,Top,90.0
R164,126.13,22.99,Top,90.0
R165,128.39,21.22,Top,0.0
R166,139.30, 9.10,Top,270.0
R167,155.47,26.70,Top,270.0
R168,157.59,26.71,Top,270.0
R169,167.97,22.65,Top,90.0
R170,149.21,16.23,Top,0.0
R171,163.52,15.27,Top,180.0
R172,163.52,14.56,Top,180.0
REL0,152.58,36.40,Bottom,270.0
REL1,150.44,36.40,Bottom,270.0
REL2,148.31,36.40,Bottom,270.0
REL3,146.21,36.40,Bottom,270.0
REL4,144.08,36.40,Bottom,90.0
REL5,141.99,36.40,Bottom,270.0
REL6,139.89,36.40,Bottom,270.0
REL7,137.79,36.40,Bottom,270.0
RESET,201.11,25.81,Top,180.0
RN1,149.51,39.04,Top,180.0
RN2,140.86,39.06,Top,180.0
RN3,137.23,25.98,Bottom,90.0
RN4,137.21,30.85,Bottom,90.0
RX0,158.64,39.75,Bottom,180.0
RX1,158.72,37.08,Bottom,180.0
SCL0,135.81, 8.96,Bottom,180.0
SCL1,157.59,26.60,Bottom,180.0
SCLK1,203.71,40.87,Bottom,180.0
SDA0,140.63, 8.73,Bottom,180.0
SDA1,155.26,26.64,Bottom,180.0
SW,109.66,15.99,Bottom,0.0
SW3,93.83,15.84,Bottom,0.0
T1,128.33,23.70,Top,0.0
U$1,102.60,68.42,Top,0.0
U$2,58.01, 5.97,Top,0.0
U$3,205.47,101.26,Top,0.0
U$4, 4.77,101.26,Top,0.0
U$5,19.40,13.20,Top,0.0
U$6, 4.60, 4.50,Top,0.0
U$7,59.00,42.80,Top,0.0
U$8,127.76,11.79,Top,0.0
U$10,127.23,29.19,Top,0.0
U$11,204.16,34.67,Top,0.0
U$12,60.40,30.70,Top,0.0
U$13,56.50,25.10,Top,0.0
U$14,56.70,18.60,Top,0.0
U$15,97.89,37.03,Top,0.0
USB1,175.15, 0.41,Top,0.0
VBUS,168.08,13.36,Bottom,0.0
VCC,27.18,33.01,Top,90.0
VCC2,49.38,33.03,Top,270.0
X2,193.41,42.11,Top,0.0
X3,146.02,16.49,Top,270.0
